La Bolduc	2018	François Bouvier	NULL	NULL
The Infinity Project	2018	Michael Fredianelli	1980	NULL
Nature of Love	2020	Marita Grabiak	NULL	NULL
The Kung Fu Instructor	1979	Chung Sun	1941	NULL
Tourist Trap	1979	David Schmoeller	1947	NULL
Untraceable	2008	Gregory Hoblit	1944	NULL
Shadows on the Wall	2015	Ben Carland	NULL	NULL
Get Mean	1975	Ferdinando Baldi	1917	2007
The Game of Their Lives	2005	David Anspaugh	1946	NULL
School of the Damned	2019	Peter Vincent	NULL	NULL
Mr. Nice	2010	Bernard Rose	1960	NULL
Pluto's Purchase	1948	Charles Nichols	1910	1992
Dead End Drive-In	1986	Brian Trenchard-Smith	1946	NULL
Star-Crossed: The Film	2021	Bardia Zeinali	NULL	NULL
An American in Paris	1951	Vincente Minnelli	1903	1986
Bells Are Ringing	1960	Vincente Minnelli	1903	1986
Home from the Hill	1960	Vincente Minnelli	1903	1986
Sweet Sixteen	1983	Jim Sotos	NULL	NULL
The Coming	2020	Joy Jones	NULL	NULL
No Escapes	2020	Alexey Nuzhny	NULL	NULL
L'Oreal Paris Women of Worth	2021	Eric Scott Johnson	NULL	NULL
I Could Go on Singing	1963	Ronald Neame	1911	2010
The Chalk Garden	1964	Ronald Neame	1911	2010
Reflections in a Golden Eye	1967	John Huston	1906	1987
The Dunwich Horror	1970	Daniel Haller	1929	NULL
The Forsaken	2001	J.S. Cardone	1946	NULL
Laws of Attraction	2004	Peter Howitt	1957	NULL
Christmas Belle	2013	Alex Wright	NULL	NULL
Quakers: That of God in Everyone	2015	Isaac Stambaugh	NULL	NULL
Soorma	2018	Shaad Ali	1970	NULL
Neha	1991	Martin Sulík	1962	NULL
Coming Down the Mountain	2007	Julie Anne Robinson	NULL	NULL
And Soon the Darkness	2010	Marcos Efron	NULL	NULL
Quarantine L.A.	2013	Filip Maciejewicz	NULL	NULL
Sexmission	1984	Juliusz Machulski	1955	NULL
King Size	1988	Juliusz Machulski	1955	NULL
The Exorcism of God	2021	Alejandro Hidalgo	NULL	NULL
Patrice O'Neal: Killing Is Easy	2021	Michael Bonfiglio	NULL	NULL
Her Name Was Christa	2020	James L. Edwards	1972	NULL
Acute Misfortune	2018	Thomas M. Wright	1983	NULL
The Angry Red Planet	1959	Ib Melchior	1917	2015
The Young Seducers	1971	Erwin C. Dietrich	1930	2018
The Mine	2012	Jeff Chamberlain	1954	2020
Colombia magia salvaje	2015	Mike Slee	1959	NULL
Mad About Mambo	2000	John Forte	NULL	NULL
The Patriot	2000	Roland Emmerich	1955	NULL
Camino	2008	Javier Fesser	1964	NULL
Campus Confidential	2013	Donnie Chun-Yu Lai	NULL	NULL
Assassin 33 A.D.	2020	Jim Carroll	NULL	NULL
Climax	2018	Gaspar Noé	1963	NULL
Fear and Desire	1953	Stanley Kubrick	1928	1999
Cash on Demand	1961	Quentin Lawrence	1920	1979
Eyes Wide Shut	1999	Stanley Kubrick	1928	1999
A Lonely Place to Die	2011	Julian Gilbey	1975	NULL
View from a Blue Moon	2015	Blake Kueny	NULL	NULL
A Tale of Two Sisters	2003	Jee-woon Kim	1964	NULL
The Jewish Journey: America	2015	Andrew Goldberg	NULL	NULL
The Gumball Rally	1976	Charles Bail	1935	2020
Robin Hood	1991	John Irvin	1940	NULL
The Big Lebowski	1998	Joel Coen	1954	NULL
City of Industry	1997	John Irvin	1940	NULL
The Binding	2020	Domenico de Feudis	NULL	NULL
A Real Vermeer	2016	Rudolf van den Berg	1949	NULL
Cherry Tree	2015	David Keating	1960	NULL
Twist of Fate	1954	David Miller	1909	1992
Buffalo Bill and the Indians, or Sitting Bull's History Lesson	1976	Robert Altman	1925	2006
Alison's Birthday	1981	Ian Coughlan	1946	2001
Dads	2019	Bryce Dallas Howard	1981	NULL
The Evil Twin	2021	Max McGuire	NULL	NULL
The Sweetheart	2018	Max McGuire	NULL	NULL
A Safe Place	1971	Henry Jaglom	1938	NULL
Delirium	1979	Peter Maris	NULL	NULL
Turbulence	1997	Robert Butler	1927	NULL
Justin Bieber: Rise to Fame	2011	Maureen Goldthorpe	NULL	NULL
Drib	2017	Kristoffer Borgli	1985	NULL
